uid;value;date;station_id
325;63;2022-08-27T23:00:00Z;152210170
326;62;2022-08-27T22:00:00Z;152210170
327;61;2022-08-27T21:00:00Z;152210170
328;71;2022-08-28T10:00:00Z;152210170
329;71;2022-08-28T09:00:00Z;152210170
330;70;2022-08-28T08:00:00Z;152210170
331;70;2022-08-28T07:00:00Z;152210170
332;69;2022-08-28T06:00:00Z;152210170
333;68;2022-08-28T05:00:00Z;152210170
334;72;2022-08-28T13:00:00Z;152210170
335;72;2022-08-28T12:00:00Z;152210170
336;72;2022-08-28T11:00:00Z;152210170
337;73;2022-08-28T18:00:00Z;152210170
338;73;2022-08-28T17:00:00Z;152210170
339;73;2022-08-28T16:00:00Z;152210170
340;73;2022-08-28T15:00:00Z;152210170
341;72;2022-08-28T14:00:00Z;152210170
342;73;2022-08-28T20:00:00Z;152210170
343;73;2022-08-28T19:00:00Z;152210170
344;71;2022-08-29T05:00:00Z;152210170
345;71;2022-08-29T04:00:00Z;152210170
346;72;2022-08-29T03:00:00Z;152210170
347;72;2022-08-29T02:00:00Z;152210170
348;72;2022-08-29T01:00:00Z;152210170
349;72;2022-08-29T00:00:00Z;152210170
350;72;2022-08-28T23:00:00Z;152210170
351;73;2022-08-28T22:00:00Z;152210170
352;73;2022-08-28T21:00:00Z;152210170
353;70;2022-08-29T06:00:00Z;152210170
354;69;2022-08-29T10:00:00Z;152210170
355;70;2022-08-29T09:00:00Z;152210170
356;70;2022-08-29T08:00:00Z;152210170
357;70;2022-08-29T07:00:00Z;152210170
358;69;2022-08-29T11:00:00Z;152210170
359;67;2022-08-29T15:00:00Z;152210170
360;68;2022-08-29T14:00:00Z;152210170
361;68;2022-08-29T13:00:00Z;152210170
362;68;2022-08-29T12:00:00Z;152210170
363;66;2022-08-29T19:00:00Z;152210170
364;66;2022-08-29T18:00:00Z;152210170
365;66;2022-08-29T17:00:00Z;152210170
366;67;2022-08-29T16:00:00Z;152210170
367;62;2022-08-30T05:00:00Z;152210170
368;62;2022-08-30T04:00:00Z;152210170
369;62;2022-08-30T03:00:00Z;152210170
370;63;2022-08-30T02:00:00Z;152210170
371;63;2022-08-30T01:00:00Z;152210170
372;64;2022-08-30T00:00:00Z;152210170
373;64;2022-08-29T23:00:00Z;152210170
374;64;2022-08-29T22:00:00Z;152210170
375;65;2022-08-29T21:00:00Z;152210170
376;65;2022-08-29T20:00:00Z;152210170
377;61;2022-08-30T08:00:00Z;152210170
378;61;2022-08-30T07:00:00Z;152210170
379;61;2022-08-30T06:00:00Z;152210170
380;57;2022-08-30T18:00:00Z;152210170
381;57;2022-08-30T17:00:00Z;152210170
382;57;2022-08-30T16:00:00Z;152210170
383;58;2022-08-30T15:00:00Z;152210170
384;58;2022-08-30T14:00:00Z;152210170
385;59;2022-08-30T13:00:00Z;152210170
386;59;2022-08-30T12:00:00Z;152210170
387;60;2022-08-30T11:00:00Z;152210170
388;60;2022-08-30T10:00:00Z;152210170
389;61;2022-08-30T09:00:00Z;152210170
390;52;2022-08-31T04:00:00Z;152210170
391;53;2022-08-31T03:00:00Z;152210170
392;53;2022-08-31T02:00:00Z;152210170
393;54;2022-08-31T01:00:00Z;152210170
394;54;2022-08-31T00:00:00Z;152210170
395;55;2022-08-30T23:00:00Z;152210170
396;55;2022-08-30T22:00:00Z;152210170
397;55;2022-08-30T21:00:00Z;152210170
398;56;2022-08-30T20:00:00Z;152210170
399;56;2022-08-30T19:00:00Z;152210170
400;51;2022-08-31T07:00:00Z;152210170
401;52;2022-08-31T06:00:00Z;152210170
402;52;2022-08-31T05:00:00Z;152210170
403;50;2022-08-31T11:00:00Z;152210170
404;50;2022-08-31T10:00:00Z;152210170
405;51;2022-08-31T09:00:00Z;152210170
406;51;2022-08-31T08:00:00Z;152210170
407;48;2022-08-31T17:00:00Z;152210170
408;48;2022-08-31T16:00:00Z;152210170
409;49;2022-08-31T15:00:00Z;152210170
410;49;2022-08-31T14:00:00Z;152210170
411;49;2022-08-31T13:00:00Z;152210170
412;50;2022-08-31T12:00:00Z;152210170
413;43;2022-09-01T08:00:00Z;152210170
414;43;2022-09-01T07:00:00Z;152210170
415;43;2022-09-01T06:00:00Z;152210170
416;44;2022-09-01T05:00:00Z;152210170
417;44;2022-09-01T04:00:00Z;152210170
418;44;2022-09-01T03:00:00Z;152210170
419;45;2022-09-01T02:00:00Z;152210170
420;45;2022-09-01T01:00:00Z;152210170
421;46;2022-09-01T00:00:00Z;152210170
422;46;2022-08-31T23:00:00Z;152210170
423;46;2022-08-31T22:00:00Z;152210170
424;47;2022-08-31T21:00:00Z;152210170
425;47;2022-08-31T20:00:00Z;152210170
426;48;2022-08-31T19:00:00Z;152210170
427;48;2022-08-31T18:00:00Z;152210170
428;42;2022-09-01T13:00:00Z;152210170
429;42;2022-09-01T12:00:00Z;152210170
430;42;2022-09-01T11:00:00Z;152210170
431;42;2022-09-01T10:00:00Z;152210170
432;42;2022-09-01T09:00:00Z;152210170
433;41;2022-09-01T16:00:00Z;152210170
434;41;2022-09-01T15:00:00Z;152210170
435;42;2022-09-01T14:00:00Z;152210170
436;41;2022-09-01T19:00:00Z;152210170
437;41;2022-09-01T18:00:00Z;152210170
438;41;2022-09-01T17:00:00Z;152210170
439;39;2022-09-02T04:00:00Z;152210170
440;39;2022-09-02T03:00:00Z;152210170
441;40;2022-09-02T02:00:00Z;152210170
442;40;2022-09-02T01:00:00Z;152210170
443;40;2022-09-02T00:00:00Z;152210170
444;40;2022-09-01T23:00:00Z;152210170
445;40;2022-09-01T22:00:00Z;152210170
446;40;2022-09-01T21:00:00Z;152210170
447;40;2022-09-01T20:00:00Z;152210170
448;39;2022-09-02T07:00:00Z;152210170
449;39;2022-09-02T06:00:00Z;152210170
450;39;2022-09-02T05:00:00Z;152210170
451;39;2022-09-02T10:00:00Z;152210170
452;39;2022-09-02T09:00:00Z;152210170
453;39;2022-09-02T08:00:00Z;152210170
454;39;2022-09-02T16:00:00Z;152210170
455;39;2022-09-02T15:00:00Z;152210170
456;39;2022-09-02T14:00:00Z;152210170
457;39;2022-09-02T13:00:00Z;152210170
458;39;2022-09-02T12:00:00Z;152210170
459;39;2022-09-02T11:00:00Z;152210170
460;39;2022-09-02T18:00:00Z;152210170
461;39;2022-09-02T17:00:00Z;152210170
462;38;2022-09-03T04:00:00Z;152210170
463;38;2022-09-03T03:00:00Z;152210170
464;38;2022-09-03T02:00:00Z;152210170
465;38;2022-09-03T01:00:00Z;152210170
466;38;2022-09-03T00:00:00Z;152210170
467;38;2022-09-02T23:00:00Z;152210170
468;38;2022-09-02T22:00:00Z;152210170
469;38;2022-09-02T21:00:00Z;152210170
470;38;2022-09-02T20:00:00Z;152210170
471;39;2022-09-02T19:00:00Z;152210170
472;39;2022-09-03T08:00:00Z;152210170
473;39;2022-09-03T07:00:00Z;152210170
474;39;2022-09-03T06:00:00Z;152210170
475;38;2022-09-03T05:00:00Z;152210170
476;40;2022-09-03T17:00:00Z;152210170
477;40;2022-09-03T16:00:00Z;152210170
478;40;2022-09-03T15:00:00Z;152210170
479;40;2022-09-03T14:00:00Z;152210170
480;40;2022-09-03T13:00:00Z;152210170
481;40;2022-09-03T12:00:00Z;152210170
482;40;2022-09-03T11:00:00Z;152210170
483;40;2022-09-03T10:00:00Z;152210170
484;39;2022-09-03T09:00:00Z;152210170
485;40;2022-09-03T19:00:00Z;152210170
486;40;2022-09-03T18:00:00Z;152210170
487;39;2022-09-04T04:00:00Z;152210170
488;39;2022-09-04T03:00:00Z;152210170
489;39;2022-09-04T02:00:00Z;152210170
490;39;2022-09-04T01:00:00Z;152210170
491;40;2022-09-04T00:00:00Z;152210170
492;40;2022-09-03T23:00:00Z;152210170
493;40;2022-09-03T22:00:00Z;152210170
494;40;2022-09-03T21:00:00Z;152210170
495;40;2022-09-03T20:00:00Z;152210170
496;38;2022-09-04T11:00:00Z;152210170
497;39;2022-09-04T10:00:00Z;152210170
498;39;2022-09-04T09:00:00Z;152210170
499;39;2022-09-04T08:00:00Z;152210170
500;39;2022-09-04T07:00:00Z;152210170
501;39;2022-09-04T06:00:00Z;152210170
502;39;2022-09-04T05:00:00Z;152210170
503;38;2022-09-04T15:00:00Z;152210170
504;38;2022-09-04T14:00:00Z;152210170
505;39;2022-09-04T13:00:00Z;152210170
506;39;2022-09-04T12:00:00Z;152210170
507;37;2022-09-04T18:00:00Z;152210170
508;38;2022-09-04T17:00:00Z;152210170
509;38;2022-09-04T16:00:00Z;152210170
510;35;2022-09-05T05:00:00Z;152210170
511;36;2022-09-05T04:00:00Z;152210170
512;36;2022-09-05T03:00:00Z;152210170
513;36;2022-09-05T02:00:00Z;152210170
514;36;2022-09-05T01:00:00Z;152210170
515;36;2022-09-05T00:00:00Z;152210170
516;37;2022-09-04T23:00:00Z;152210170
517;37;2022-09-04T22:00:00Z;152210170
518;37;2022-09-04T21:00:00Z;152210170
519;37;2022-09-04T20:00:00Z;152210170
520;37;2022-09-04T19:00:00Z;152210170
521;35;2022-09-05T07:00:00Z;152210170
522;35;2022-09-05T06:00:00Z;152210170
523;35;2022-09-05T12:00:00Z;152210170
524;35;2022-09-05T11:00:00Z;152210170
525;35;2022-09-05T10:00:00Z;152210170
526;35;2022-09-05T09:00:00Z;152210170
527;35;2022-09-05T08:00:00Z;152210170
528;35;2022-09-05T14:00:00Z;152210170
529;35;2022-09-05T13:00:00Z;152210170
530;34;2022-09-05T17:00:00Z;152210170
531;34;2022-09-05T16:00:00Z;152210170
532;35;2022-09-05T15:00:00Z;152210170
